Height_cm,Leaf_Count,New_Growth_Count,Watering_Amount_ml,Watering_Frequency_days,Room_Temperature_C,Humidity_%,Fertilizer_Amount_ml,Soil_Moisture_%,Sunlight_Exposure_6h full sun,Sunlight_Exposure_Filtered sunlight through curtain,Sunlight_Exposure_Indirect light all day,Sunlight_Exposure_Low light corner,Fertilizer_Type_Compost,Fertilizer_Type_Liquid feed,Fertilizer_Type_Organic,Pest_Presence_Fungus gnats,Pest_Presence_Spider mites,Pest_Presence_Whiteflies,Pest_Severity_Low,Pest_Severity_Moderate,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty,Health_Score
-0.808852877636577,-0.7811902228545428,1.215235046268507,-0.6061420559497465,-0.22554645296024994,-0.7252693158568423,1.5437087396649656,1.1863141844083782,1.1632560976086235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.545504448775676,0.3186614790286428,1.5653824437652588,-0.7161325235631776,-1.3601369880183016,-0.4249626261049203,0.9547470252445566,1.4998292810445089,-0.4770819161918466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
-0.5717583984487611,1.0257090016678334,1.215235046268507,1.530815600539774,0.9090440820978019,-2.2268027646164485,-0.7299574136789412,1.464994270307161,-1.4875855027524736,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.112295391996384,-1.2525552379473366,-1.235796736208754,-0.5904291320049706,-1.3601369880183016,0.37585521323353593,1.1807439621733182,0.977304119984291,0.22888634291215315,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-2.2167842910852125,-0.07414270021535206,-0.535501941215251,1.4365380568711186,-0.7928417204892758,-0.22475816627030684,-0.23002479562440717,-0.38126129877227566,0.19428005570117277,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0781453725165655,-1.0168727304009397,0.5149402512750039,0.7294564793562037,1.4763393496268278,1.0098360027098137,1.125956825948164,-0.20708624508553633,1.2047836422618001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
-0.1902606973687774,1.2613915092142303,-1.235796736208754,1.082997268113661,-1.3601369880183016,-1.0589434155811992,1.1054116498637303,-0.9734564813071893,1.7100354355421135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-0.9220337812817896,-0.6240685511569448,-1.5859441337055058,0.8708727948591867,0.3417488145687759,-0.5917996759670988,-1.0655286230580117,1.464994270307161,0.02124861964627087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.5805396754557172,-0.6240685511569448,-0.8856493387120026,0.22664291312337545,-1.3601369880183016,-1.4593523352504274,0.6945081281750725,0.45477895892407305,-0.5393732331716111,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
-0.5659042137774571,-1.4882377454937334,-0.535501941215251,0.3916286145435222,-0.22554645296024994,-0.9588411856638919,-0.7162606296226524,-0.10258121287349276,-1.0930738285472972,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
-0.31807706269225006,0.7114656582726376,0.8650876487717555,0.8237340230248591,-1.3601369880183016,-1.1256782355260704,-0.6888670615100753,0.733459044822856,-1.7229082557871402,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
-0.7776305593896218,0.004418135633446898,0.16479285377825229,0.8708727948591867,1.4763393496268278,1.0432034126822498,-0.6957154535382196,-0.38126129877227566,0.028169877088467046,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
-0.8576377498974445,-1.3311160737961356,-1.235796736208754,-0.03262033196542666,-0.7928417204892758,-0.6585344959119711,0.7766888325128042,0.0019238193385508336,0.1873587982589766,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
0.8449542920068307,0.08297897148224587,1.215235046268507,1.122279577975601,-1.3601369880183016,0.17565075339892128,-0.9217123904669813,0.9076340985095953,1.1148072955132513,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
